subscription_id,status_new,THEMONTH,THEDATETIME
110649319,active,2022-09,2022-09-21 21:08:19
110649319,cancelled,2022-09,2022-09-28 18:32:36
110649319,active,2022-09,2022-09-28 19:23:31
110649319,cancelled,2022-09,2022-09-28 19:24:34
110649319,active,2023-09,2023-09-11 21:28:53
122881564,active,2022-03,2022-03-24 18:28:31
122881564,cancelled,2022-09,2022-09-06 09:36:06
122881564,active,2022-09,2022-09-06 09:36:26
122881564,cancelled,2022-09,2022-09-06 09:37:57
122881564,active,2022-09,2022-09-07 15:00:21
127177979,active,2022-11,2022-11-04 12:33:22
127177979,cancelled,2024-03,2024-03-13 13:18:35
127178308,active,2022-03,2022-03-24 18:28:31
127178382,active,2022-03,2022-03-24 18:28:31
127178528,active,2022-03,2022-03-24 18:28:31
128771018,active,2023-02,2023-02-02 12:11:49
128771018,cancelled,2023-09,2023-09-29 01:45:30
135593101,active,2024-08,2024-08-11 08:42:09
135593101,cancelled,2024-08,2024-08-16 07:51:20
135593101,active,2024-10,2024-10-15 13:45:00
139198377,active,2022-10,2022-10-25 08:49:57
142335556,active,2022-03,2022-03-24 18:28:34
142380200,active,2022-08,2022-08-22 10:51:30
142380200,cancelled,2022-10,2022-10-13 04:19:32
143660942,active,2022-03,2022-03-24 18:28:34
145018779,active,2022-03,2022-03-24 18:28:34
158791206,active,2024-03,2024-03-25 12:58:44
158791206,cancelled,2024-03,2024-03-25 13:02:25
160308858,active,2022-09,2022-09-27 02:02:11
161975574,active,2022-03,2022-03-24 18:28:36
162113012,active,2022-08,2022-08-03 04:26:53
162113012,cancelled,2022-10,2022-10-03 11:58:40
163046414,active,2022-03,2022-03-24 18:28:36
163574972,active,2022-08,2022-08-20 04:18:02
163574972,cancelled,2023-11,2023-11-17 10:54:18
163888660,active,2022-03,2022-03-24 18:28:36
163973075,active,2022-12,2022-12-09 18:56:13
163973075,cancelled,2023-10,2023-10-23 03:19:16
164324475,active,2022-07,2022-07-04 14:25:34
164324475,cancelled,2022-11,2022-11-26 11:29:14
164379172,active,2022-08,2022-08-09 04:25:44
164379172,cancelled,2023-02,2023-02-21 21:15:38
164905426,active,2022-08,2022-08-08 04:28:47
164905426,cancelled,2023-04,2023-04-19 19:19:15
164930622,active,2022-08,2022-08-08 04:28:54
164930622,cancelled,2022-09,2022-09-07 10:14:41
165881368,active,2022-03,2022-03-24 18:28:36
165896645,active,2022-03,2022-03-24 18:28:36
165930506,active,2022-08,2022-08-01 04:52:15
165930506,cancelled,2023-05,2023-05-18 12:47:37
165944607,active,2022-03,2022-03-24 18:28:36
166104063,active,2022-07,2022-07-25 20:15:13
166104063,cancelled,2022-09,2022-09-19 20:37:28
166115384,active,2022-03,2022-03-24 18:28:34
166526321,active,2022-06,2022-06-06 04:23:08
166619738,active,2022-06,2022-06-01 04:33:36
166619738,cancelled,2023-06,2023-06-10 09:41:03
166718600,active,2022-08,2022-08-10 04:25:53
166732424,active,2022-06,2022-06-29 04:22:44
167134973,active,2022-06,2022-06-06 09:03:24
167366962,active,2022-03,2022-03-24 18:28:35
167953792,active,2023-03,2023-03-15 04:16:35
167953792,cancelled,2023-03,2023-03-15 04:16:48
168061742,active,2022-08,2022-08-11 04:22:04
168640776,active,2022-03,2022-03-24 18:28:35
168747079,active,2022-06,2022-06-19 04:19:07
168747079,cancelled,2022-11,2022-11-10 11:32:17
168868044,active,2022-07,2022-07-17 04:19:55
169845958,active,2022-07,2022-07-30 06:29:49
171247140,active,2022-03,2022-03-24 18:28:35
171464905,active,2022-05,2022-05-13 04:21:49
171464905,cancelled,2024-04,2024-04-01 10:09:39
171698817,active,2022-08,2022-08-22 10:51:32
171698817,cancelled,2022-09,2022-09-06 09:01:40
171698817,active,2023-07,2023-07-01 11:56:15
171698817,cancelled,2023-07,2023-07-01 11:59:01
172079553,active,2024-05,2024-05-28 07:17:03
172079553,cancelled,2024-07,2024-07-22 06:32:34
172081817,active,2022-12,2022-12-14 09:08:26
172611042,active,2022-03,2022-03-24 18:28:35
173002053,active,2022-07,2022-07-24 04:20:06
173002053,cancelled,2022-09,2022-09-07 08:37:18
173028708,active,2022-03,2022-03-24 18:28:35
173451319,active,2022-03,2022-03-24 18:28:35
173953552,active,2022-08,2022-08-10 04:25:45
173953552,cancelled,2022-10,2022-10-05 04:37:27
174038917,active,2022-07,2022-07-31 04:17:28
174904393,active,2023-01,2023-01-17 08:08:39
174904393,cancelled,2024-09,2024-09-13 04:28:36
175828431,active,2022-09,2022-09-08 14:45:52
175828431,cancelled,2022-09,2022-09-08 15:05:28
175828431,active,2022-09,2022-09-08 15:10:52
175828431,cancelled,2022-09,2022-09-08 15:20:12
175927646,active,2022-08,2022-08-18 04:23:29
176917277,active,2022-03,2022-03-24 18:28:36
